name,author,rating,total_review,type,current_price,first_price,book_url,asin
SQL: The Ultimate Beginner's Guide to Learn SQL Programming Step-by-Step (Computer Programming),Part of: Computer Programming (28 books),4.3,37,Kindle,0.00,0.00,https://www.amazon.com//SQL-Beginners-Programming-Step-Step-ebook/dp/B08VRJ5BNY/ref=sr_1_40?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-40,B08VRJ5BNY
Sql Guide (Quick Study: SQL),Inc. BarCharts,4.5,1703,Cards,4.95,4.95,https://www.amazon.com//Sql-Guide-Quick-Study-SQL/dp/1572229160/ref=sr_1_41?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-41,1572229160
Geospatial Analysis with SQL: A hands-on guide to performing geospatial analysis by unlocking the syntax of spatial SQL,Bonny P McClain,5.0,3,Paperback,44.99,44.99,https://www.amazon.com//Geospatial-Analysis-SQL-hands-performing/dp/180461646X/ref=sr_1_42?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-42,180461646X
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street",Nick Singh,4.5,729,Paperback,37.80,42.00,https://www.amazon.com//Ace-Data-Science-Interview-Questions/dp/0578973839/ref=sr_1_43?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-43,0578973839
Python Programming Language,Berajah Jayne,4.6,1577,Paperback,7.95,7.95,https://www.amazon.com//Python-Programming-Language-Berajah-Jayne/dp/1423241886/ref=sr_1_44?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-44,1423241886
Excel Formulas (Quick Study Computer),Inc. BarCharts,4.5,2594,Ring-bound,5.95,5.95,https://www.amazon.com//Excel-Formulas-Quick-Study-Computer/dp/1423221699/ref=sr_1_45?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-45,1423221699
"The Definitive Guide to DAX: Business Intelligence for Microsoft Power BI, SQL Server Analysis Services, and Excel Second Edition (Business Skills)",Part of: Business Skills (19 books),4.7,1183,Paperback,43.99,54.99,https://www.amazon.com//Definitive-Guide-DAX-intelligence-Microsoft/dp/1509306978/ref=sr_1_46?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-46,1509306978
SQL : 2 Books in 1 - The Ultimate Beginner & Intermediate Guides To Mastering SQL Programming Quickly (Computer Programming),Part of: Computer Programming (28 books),4.6,37,Kindle,0.00,0.00,https://www.amazon.com//SQL-Ultimate-Intermediate-Mastering-Programming-ebook/dp/B09SCP1Y5C/ref=sr_1_47?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-47,B09SCP1Y5C
"PROC SQL: Beyond the Basics Using SAS, Third Edition",Kirk Paul Lafler,5.0,11,Paperback,63.95,63.95,https://www.amazon.com//PROC-SQL-Beyond-Basics-Using/dp/163526684X/ref=sr_1_48?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-48,163526684X
Pro SQL Server 2022 Administration: A Guide for the Modern DBA,Peter A. Carter,,0,Paperback,69.99,69.99,https://www.amazon.com//Pro-SQL-Server-2022-Administration/dp/1484288637/ref=sr_1_49?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-49,1484288637
Advanced SQL with SAS,Christian FG Schendera,,0,Kindle,51.13,63.99,https://www.amazon.com//Advanced-SQL-SAS-Christian-Schendera-ebook/dp/B0B4B692YK/ref=sr_1_50?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-50,B0B4B692YK
SQL Queries for Mere Mortals: A Hands-On Guide to Data Manipulation in SQL,Part of: For Mere Mortals (5 books),4.5,253,Paperback,49.99,49.99,https://www.amazon.com//SQL-Queries-Mere-Mortals-Hands/dp/0134858336/ref=sr_1_51?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-51,0134858336
"Computer Programming for Beginners: 3 Books in 1: R, Phython and SQL Coding Languages",Anthony McGuire,3.7,33,Paperback,10.97,10.97,https://www.amazon.com//Computer-Programming-Beginners-Phython-Languages/dp/B098G94ZM2/ref=sr_1_52?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-52,B098G94ZM2
Learn SQL Database Programming: Query and manipulate databases from popular relational database servers using SQL,Josephine Bush,4.4,26,Paperback,39.99,41.99,https://www.amazon.com//Learn-SQL-Database-Programming-manipulate/dp/1838984763/ref=sr_1_53?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-53,1838984763
"SQL: The Complete Reference, 3rd Edition",Paul N. Weinberg,4.5,40,Paperback,35.85,70.00,https://www.amazon.com//SQL-Complete-Reference-James-Groff/dp/0071592555/ref=sr_1_54?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-54,0071592555
SQL Performance Tuning,Peter Gulutzan,3.7,16,Paperback,,,https://www.amazon.com//SQL-Performance-Tuning-Peter-Gulutzan/dp/0201791692/ref=sr_1_55?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-55,0201791692
PROC SQL by Example: Using SQL within SAS,Howard Schreier,4.5,17,Paperback,64.95,64.95,https://www.amazon.com//PROC-SQL-Example-Using-within/dp/1599942976/ref=sr_1_56?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-56,1599942976
T-SQL Window Functions: For data analysis and beyond (Developer Reference),Part of: Developer Reference (71 books),4.8,65,Paperback,38.17,39.99,https://www.amazon.com//T-SQL-Window-Functions-Developer-Reference/dp/0135861446/ref=sr_1_57?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-57,0135861446
Learn SQL by Examples: Examples of SQL Queries and Stored Procedures for MySQL and Oracle,Sergey Skudaev,4.2,40,Paperback,9.99,9.99,https://www.amazon.com//Learn-SQL-Examples-Queries-Procedures/dp/1546996346/ref=sr_1_58?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-58,1546996346
MySQL Connector/Python Revealed: SQL and NoSQL Data Storage Using MySQL for Python Programmers,Jesper Wisborg Krogh,4.0,11,Paperback,49.99,49.99,https://www.amazon.com//MySQL-Connector-Python-Revealed-Programmers/dp/1484236939/ref=sr_1_59?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-59,1484236939
